Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Brands (product.metafields.custom.brands),Breed Size (product.metafields.custom.breed_size),Categories (product.metafields.custom.categories),Disclaimer (product.metafields.custom.disclaimer),eCategories (product.metafields.custom.ecategories),Feeding Instructions (product.metafields.custom.feeding_instructions),Flavor (product.metafields.custom.flavor6),Frequently Bought together products (product.metafields.custom.frequently_bought_together_products),Guaranteed Analysis (product.metafields.custom.guaranteed_analysis),Ingredients (product.metafields.custom.ingredients),Key Benefits (product.metafields.custom.key_benefits),Life Stages (product.metafields.custom.life_stages),Locations (product.metafields.custom.locations),Manufacturer (product.metafields.custom.manufacturer),Product Badge (product.metafields.custom.product_badge),Product Description (product.metafields.custom.product_description),Solutions (product.metafields.custom.solutions),Special Diet (product.metafields.custom.special_diet),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Status
100%-Natural---Invisible-Boot-NS,100% Natural - Invisible Boot,,Triton Animal Supplies Inc.,,Pet Supplies,LaunchNoScans,TRUE,Size,4oz,,,,,,,,990009C,0,shopify,deny,manual,16.99,,TRUE,TRUE,,,,,04875626,,,,FALSE,,,,,,,,,,,,,,,,Vitamins & Solutions >> Skin & Coat,,,,,,,,,,,,,,,,,,,,,,,,7.57,TRUE,,,active
"Angel---Athens-Dog-Collar-Rhinestone,-Valentine-Red-NS","Angel - Athens Dog Collar Rhinestone, Valentine Red",,Angel Pet Supplies,,Pet Supplies,LaunchNoScans,TRUE,Size,"28 x 2""",,,,,,,,41147,0,shopify,deny,manual,64.99,,TRUE,TRUE,,,,,628071411473,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Collars Leashes & Harnesses,,,,,,,,,,,,,,,,,,,,,,,,32.5,TRUE,,,active
Benny-Bully's---Dog-Beef-Liver-Plus-Blueberry-NS,Benny Bully's - Dog Beef Liver Plus Blueberry,,PETSlink Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,2.1oz,,,,,,,,116PPDL70530,0,shopify,deny,manual,11.99,,TRUE,TRUE,,,,,776310556154,,,,FALSE,,,,,,,,,,,,,,,,Dog >> Dog Treat >> Dog Freeze Dried Treat,,,,,,,,,,,,,,,,,,,,,,,,5.41,TRUE,,,active
Benny-Bully's---Dog-Beef-Liver-Plus-Pumpkin-NS,Benny Bully's - Dog Beef Liver Plus Pumpkin,,PETSlink Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,2.1oz,,,,,,,,115PPDL70540,0,shopify,deny,manual,11.99,,TRUE,TRUE,,,,,776310543154,,,,FALSE,,,,,,,,,,,,,,,,Dog >> Dog Treat >> Dog Freeze Dried Treat,,,,,,,,,,,,,,,,,,,,,,,,5.41,TRUE,,,active
Benny-Bully's---Dog-Liver-Chops-Bulk-NS,Benny Bully's - Dog Liver Chops Bulk,,PETSlink Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,18oz*,,,,,,,,114PPDL70495,0,shopify,deny,manual,46.99,,TRUE,TRUE,,,,,776310042275,,,,FALSE,,,,,,,,,,,,,,,,Dog >> Dog Treat >> Dog Freeze Dried Treat,,,,,,,,,,,,,,,,,,,,,,,,32.38,TRUE,,,active
Best-Friends-by-Sheri-–-Deep-Dish-Sherpa-Fuchsia-NS,Best Friends by Sheri – Deep Dish Sherpa Fuchsia,,PETSlink Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,Mini*,,,,,,,,95660,0,shopify,deny,manual,37.99,,TRUE,TRUE,,,,,819115010183,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Beds & Blankets,,,,,,,,,,,,,,,,,,,,,,,,21.43,TRUE,,,active
Best-Friends-by-Sheri-–-Donut-Lux-Dark-Choc-NS,Best Friends by Sheri – Donut Lux Dark Choc,,PETSlink Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,45x45*,,,,,,,,95900,0,shopify,deny,manual,203.99,,TRUE,TRUE,,,,,817403025901,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Beds & Blankets,,,,,,,,,,,,,,,,,,,,,,,,129.1867,TRUE,,,active
Best-Friends-by-Sheri-–-Donut-Lux-Oyster-NS,Best Friends by Sheri – Donut Lux Oyster,,PETSlink Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,36x36*,,,,,,,,95925,0,shopify,deny,manual,149.99,,TRUE,TRUE,,,,,817403025956,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Beds & Blankets,,,,,,,,,,,,,,,,,,,,,,,,94.7419,TRUE,,,active
Best-Friends-by-Sheri-–-Donut-Lux-Oyster-NS,Best Friends by Sheri – Donut Lux Oyster,,PETSlink Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,45x45*,,,,,,,,95930,0,shopify,deny,manual,203.99,,TRUE,TRUE,,,,,817403025963,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Beds & Blankets,,,,,,,,,,,,,,,,,,,,,,,,129.1867,TRUE,,,active
Best-Friends-by-Sheri-–-Donut-Shag-Taupe-NS,Best Friends by Sheri – Donut Shag Taupe,,PETSlink Distribution Ltd.,,Pet Supplies,LaunchNoScans,TRUE,Size,23x23*,,,,,,,,95620,0,shopify,deny,manual,47.99,,TRUE,TRUE,,,,,819115019421,,,,FALSE,,,,,,,,,,,,,,,,Health and Wellness >> Beds & Blankets,,,,,,,,,,,,,,,,,,,,,,,,30.1579,TRUE,,,active
